year,month,ppt
1895,1,151.892
1895,2,25.4
1895,3,141.732
1895,4,77.724
1895,5,53.34
1895,6,81.28
1895,7,164.084
1895,8,50.8
1895,9,83.312
1895,10,38.1
1895,11,101.6
1895,12,120.65
1896,1,76.708
1896,2,142.494
1896,3,167.894
1896,4,93.98
1896,5,112.776
1896,6,116.078
1896,7,103.632
1896,8,54.61
1896,9,63.246
1896,10,44.196
1896,11,168.402
1896,12,36.83
1897,1,98.298
1897,2,103.378
1897,3,274.066
1897,4,138.684
1897,5,54.61
1897,6,57.15
1897,7,90.678
1897,8,54.102
1897,9,0
1897,10,32.766
1897,11,100.076
1897,12,141.986
1898,1,271.526
1898,2,32.512
1898,3,125.476
1898,4,98.806
1898,5,97.282
1898,6,97.536
1898,7,150.114
1898,8,73.406
1898,9,86.106
1898,10,89.662
1898,11,89.662
1898,12,75.184
1899,1,167.132
1899,2,145.542
1899,3,185.42
1899,4,83.058
1899,5,66.802
1899,6,51.054
1899,7,114.554
1899,8,71.882
1899,9,22.86
1899,10,63.246
1899,11,67.818
1899,12,137.16
1900,1,68.834
1900,2,135.382
1900,3,84.836
1900,4,160.782
1900,5,93.98
1900,6,307.34
1900,7,138.43
1900,8,37.846
1900,9,78.994
1900,10,157.988
1900,11,165.354
1900,12,68.072
1901,1,106.172
1901,2,54.102
1901,3,88.138
1901,4,90.932
1901,5,60.706
1901,6,74.168
1901,7,43.688
1901,8,210.82
1901,9,138.938
1901,10,44.704
1901,11,40.386
1901,12,143.51
1902,1,145.542
1902,2,68.834
1902,3,197.104
1902,4,83.312
1902,5,84.328
1902,6,84.328
1902,7,51.308
1902,8,100.584
1902,9,143.002
1902,10,41.148
1902,11,123.698
1902,12,227.584
1903,1,83.566
1903,2,181.61
1903,3,122.428
1903,4,70.358
1903,5,145.542
1903,6,76.2
1903,7,94.996
1903,8,64.262
1903,9,14.224
1903,10,33.274
1903,11,87.122
1903,12,113.538
1904,1,95.25
1904,2,44.958
1904,3,154.94
1904,4,97.536
1904,5,108.712
1904,6,96.774
1904,7,86.106
1904,8,52.07
1904,9,61.976
1904,10,19.558
1904,11,46.482
1904,12,185.166
1905,1,109.22
1905,2,87.376
1905,3,111.76
1905,4,74.168
1905,5,169.926
1905,6,177.292
1905,7,102.362
1905,8,95.504
1905,9,69.85
1905,10,144.526
1905,11,54.102
1905,12,127
1906,1,99.06
1906,2,28.956
1906,3,140.97
1906,4,59.182
1906,5,75.438
1906,6,58.674
1906,7,195.072
1906,8,92.202
1906,9,150.368
1906,10,97.79
1906,11,252.984
1906,12,154.686
1907,1,96.774
1907,2,114.3
1907,3,116.586
1907,4,135.636
1907,5,205.486
1907,6,81.534
1907,7,114.046
1907,8,66.04
1907,9,86.614
1907,10,74.676
1907,11,116.078
1907,12,105.41
1908,1,104.902
1908,2,159.766
1908,3,138.43
1908,4,151.892
1908,5,88.9
1908,6,144.526
1908,7,85.09
1908,8,98.806
1908,9,53.594
1908,10,1.016
1908,11,112.268
1908,12,69.596
1909,1,61.468
1909,2,217.678
1909,3,112.268
1909,4,140.208
1909,5,170.18
1909,6,73.66
1909,7,112.776
1909,8,28.702
1909,9,96.266
1909,10,51.816
1909,11,64.262
1909,12,107.188
1910,1,103.632
1910,2,110.998
1910,3,19.05
1910,4,132.334
1910,5,115.062
1910,6,90.932
1910,7,182.118
1910,8,48.768
1910,9,67.056
1910,10,126.238
1910,11,32.258
1910,12,101.346
1911,1,85.09
1911,2,98.044
1911,3,58.928
1911,4,248.412
1911,5,43.942
1911,6,69.088
1911,7,127.762
1911,8,159.258
1911,9,84.328
1911,10,66.802
1911,11,120.142
1911,12,278.892
1912,1,86.614
1912,2,115.062
1912,3,195.834
1912,4,295.148
1912,5,87.884
1912,6,112.522
1912,7,187.96
1912,8,90.424
1912,9,81.026
1912,10,63.246
1912,11,37.846
1912,12,143.002
1913,1,338.074
1913,2,137.668
1913,3,194.818
1913,4,102.87
1913,5,86.36
1913,6,46.99
1913,7,94.996
1913,8,44.196
1913,9,101.6
1913,10,109.22
1913,11,37.592
1913,12,66.802
1914,1,37.846
1914,2,107.95
1914,3,119.126
1914,4,103.124
1914,5,74.168
1914,6,39.624
1914,7,69.596
1914,8,163.068
1914,9,82.804
1914,10,74.422
1914,11,44.45
1914,12,138.43
1915,1,157.48
1915,2,78.994
1915,3,78.74
1915,4,29.718
1915,5,145.288
1915,6,68.072
1915,7,99.822
1915,8,225.806
1915,9,79.502
1915,10,63.5
1915,11,193.548
1915,12,204.47
1916,1,219.202
1916,2,54.61
1916,3,85.344
1916,4,72.644
1916,5,158.242
1916,6,132.842
1916,7,162.814
1916,8,98.298
1916,9,45.72
1916,10,64.262
1916,11,40.386
1916,12,125.984
1917,1,178.816
1917,2,62.484
1917,3,200.152
1917,4,145.542
1917,5,86.36
1917,6,115.57
1917,7,165.862
1917,8,70.104
1917,9,54.61
1917,10,67.818
1917,11,35.306
1917,12,42.926
1918,1,170.942
1918,2,52.07
1918,3,28.194
1918,4,139.954
1918,5,92.456
1918,6,87.122
1918,7,100.33
1918,8,66.04
1918,9,91.186
1918,10,106.934
1918,11,54.864
1918,12,118.11
1919,1,135.636
1919,2,78.994
1919,3,261.112
1919,4,99.568
1919,5,186.944
1919,6,99.314
1919,7,48.514
1919,8,163.83
1919,9,27.178
1919,10,244.602
1919,11,250.698
1919,12,88.9
1920,1,189.992
1920,2,70.358
1920,3,129.54
1920,4,239.268
1920,5,147.066
1920,6,92.456
1920,7,108.712
1920,8,98.298
1920,9,100.33
1920,10,28.448
1920,11,70.612
1920,12,135.128
1921,1,71.628
1921,2,126.238
1921,3,184.912
