year,month,tmean
1895,1,1.888888889
1895,2,-0.277777778
1895,3,9.833333333
1895,4,16.05555556
1895,5,18.83333333
1895,6,24.5
1895,7,25
1895,8,25.61111111
1895,9,24.72222222
1895,10,12.38888889
1895,11,9.222222222
1895,12,5.944444444
1896,1,4.333333333
1896,2,5.944444444
1896,3,8.333333333
1896,4,19.22222222
1896,5,23.16666667
1896,6,23.83333333
1896,7,26.72222222
1896,8,26.38888889
1896,9,21.5
1896,10,14.33333333
1896,11,10.72222222
1896,12,5.666666667
1897,1,2.555555556
1897,2,7.722222222
1897,3,12.61111111
1897,4,15.11111111
1897,5,18.61111111
1897,6,25.05555556
1897,7,26.44444444
1897,8,25.44444444
1897,9,23.5
1897,10,18.33333333
1897,11,10.33333333
1897,12,5.5
1898,1,7.611111111
1898,2,5.666666667
1898,3,13.05555556
1898,4,12.44444444
1898,5,21.22222222
1898,6,25.66666667
1898,7,26
1898,8,25.38888889
1898,9,23.77777778
1898,10,14.5
1898,11,7.888888889
1898,12,3.111111111
1899,1,3.277777778
1899,2,-0.722222222
1899,3,9.388888889
1899,4,14.66666667
1899,5,22.16666667
1899,6,24.72222222
1899,7,25.44444444
1899,8,26.66666667
1899,9,21
1899,10,16.83333333
1899,11,11.16666667
1899,12,3.5
1900,1,3.944444444
1900,2,3.055555556
1900,3,8.611111111
1900,4,15.11111111
1900,5,19.44444444
1900,6,23.44444444
1900,7,25.83333333
1900,8,26.77777778
1900,9,24.33333333
1900,10,19.66666667
1900,11,9.833333333
1900,12,5.777777778
1901,1,5.277777778
1901,2,3
1901,3,10.44444444
1901,4,12.66666667
1901,5,18.61111111
1901,6,25.05555556
1901,7,28.27777778
1901,8,25
1901,9,20.61111111
1901,10,15.22222222
1901,11,7
1901,12,2.111111111
1902,1,2.777777778
1902,2,0.722222222
1902,3,11.33333333
1902,4,14.94444444
1902,5,22.72222222
1902,6,25.16666667
1902,7,26.83333333
1902,8,25.38888889
1902,9,20.72222222
1902,10,15.94444444
1902,11,12.83333333
1902,12,4.555555556
1903,1,4.111111111
1903,2,5.333333333
1903,3,13
1903,4,15.33333333
1903,5,19.72222222
1903,6,20.61111111
1903,7,26.11111111
1903,8,25.66666667
1903,9,21.16666667
1903,10,15.16666667
1903,11,8.055555556
1903,12,2.333333333
1904,1,3.111111111
1904,2,6
1904,3,11.33333333
1904,4,13.05555556
1904,5,19
1904,6,23.83333333
1904,7,25.05555556
1904,8,25.55555556
1904,9,22.44444444
1904,10,14.72222222
1904,11,8.5
1904,12,5.222222222
1905,1,0.277777778
1905,2,-0.222222222
1905,3,13.27777778
1905,4,15.88888889
1905,5,21.22222222
1905,6,24.61111111
1905,7,24.94444444
1905,8,25.44444444
1905,9,22.61111111
1905,10,15.88888889
1905,11,10.5
1905,12,4
1906,1,6.111111111
1906,2,4.166666667
1906,3,7.055555556
1906,4,16.55555556
1906,5,19.27777778
1906,6,24
1906,7,24.27777778
1906,8,24.88888889
1906,9,24.38888889
1906,10,14.33333333
1906,11,8.833333333
1906,12,6.833333333
1907,1,9.611111111
1907,2,5.388888889
1907,3,15.61111111
1907,4,11.5
1907,5,17.5
1907,6,22.66666667
1907,7,26.61111111
1907,8,25.88888889
1907,9,22.05555556
1907,10,14.77777778
1907,11,8.166666667
1907,12,5.777777778
1908,1,4.111111111
1908,2,5
1908,3,14.27777778
1908,4,17.16666667
1908,5,20.55555556
1908,6,23.77777778
1908,7,25.38888889
1908,8,24.83333333
1908,9,22.33333333
1908,10,14.05555556
1908,11,11.33333333
1908,12,6.833333333
1909,1,5.888888889
1909,2,8.222222222
1909,3,10.16666667
1909,4,14.77777778
1909,5,18.61111111
1909,6,24.38888889
1909,7,25.88888889
1909,8,26.5
1909,9,21.5
1909,10,14.55555556
1909,11,14.05555556
1909,12,0.777777778
1910,1,4.166666667
1910,2,2.333333333
1910,3,14.38888889
1910,4,13.72222222
1910,5,17.72222222
1910,6,21.88888889
1910,7,25.16666667
1910,8,25.22222222
1910,9,23.88888889
1910,10,16.55555556
1910,11,7.333333333
1910,12,1.833333333
1911,1,6.722222222
1911,2,9.055555556
1911,3,12
1911,4,15.38888889
1911,5,21.27777778
1911,6,26
1911,7,25.22222222
1911,8,24.55555556
1911,9,25.5
1911,10,17.22222222
1911,11,7.555555556
1911,12,6.888888889
1912,1,1.5
1912,2,2.5
1912,3,7.722222222
1912,4,16.27777778
1912,5,20.16666667
1912,6,22.22222222
1912,7,25.83333333
1912,8,24.94444444
1912,9,23.22222222
1912,10,16.55555556
1912,11,8.5
1912,12,4.888888889
1913,1,8.222222222
1913,2,4.444444444
1913,3,10.16666667
1913,4,15.11111111
1913,5,20.16666667
1913,6,25
1913,7,26.77777778
1913,8,26.55555556
1913,9,22.16666667
1913,10,14.55555556
1913,11,12.33333333
1913,12,5.944444444
1914,1,6.777777778
1914,2,3.944444444
1914,3,8
1914,4,15.83333333
1914,5,19.88888889
1914,6,27.66666667
1914,7,27.5
1914,8,26
1914,9,21.88888889
1914,10,16.55555556
1914,11,9.888888889
1914,12,2.722222222
1915,1,3
1915,2,7.166666667
1915,3,5.222222222
1915,4,17
1915,5,21.27777778
1915,6,23.88888889
1915,7,25.5
1915,8,23.66666667
1915,9,23.11111111
1915,10,16.66666667
1915,11,11.66666667
1915,12,5.666666667
1916,1,8
1916,2,5
1916,3,9.5
1916,4,14.38888889
1916,5,21.22222222
1916,6,23
1916,7,26.22222222
1916,8,25.83333333
1916,9,20.66666667
1916,10,15.94444444
1916,11,9.833333333
1916,12,4.444444444
1917,1,5.666666667
1917,2,5.277777778
1917,3,10.33333333
1917,4,15.22222222
1917,5,16.22222222
1917,6,23.05555556
1917,7,25.11111111
1917,8,24.16666667
1917,9,21.16666667
1917,10,12.44444444
1917,11,9.166666667
1917,12,0.277777778
1918,1,-3.166666667
1918,2,7.944444444
1918,3,14.38888889
1918,4,14.77777778
1918,5,21.55555556
1918,6,25.05555556
1918,7,24.33333333
1918,8,26.77777778
1918,9,18.33333333
1918,10,17.72222222
1918,11,8.722222222
1918,12,8.833333333
1919,1,4.333333333
1919,2,5.722222222
1919,3,10.83333333
1919,4,15.38888889
1919,5,18.61111111
1919,6,25.05555556
1919,7,26.66666667
1919,8,25.55555556
1919,9,22.66666667
