year,trw,trw_norm
1895,0.998120531,0.201116353
1896,0.837920978,-0.836822023
1897,0.84035236,-0.821069011
1898,0.853639125,-0.734983609
1899,0.683574875,-1.83683569
1900,1.006723745,0.256856866
1901,0.892382783,-0.483962127
1902,0.865913804,-0.655455543
1903,1.128960572,1.048833444
1904,1.010944665,0.284204351
1905,0.798955436,-1.0892811
1906,0.820839909,-0.947490849
1907,0.996720248,0.192043872
1908,0.905285843,-0.400362764
1909,0.993839113,0.173376901
1910,0.93325272,-0.219164408
1911,0.718675779,-1.60941574
1912,0.922052656,-0.291730007
1913,0.795399542,-1.11231986
1914,0.643453863,-2.096781101
1915,0.994448912,0.177327807
1916,1.220817533,1.64397783
1917,1.284776021,2.058367059
1918,0.897037982,-0.453800936
1919,1.186735843,1.423161399
1920,1.119411249,0.986963057
1921,0.949585137,-0.113346124
1922,1.008552664,0.2687065
1923,0.930981729,-0.233878241
1924,1.041392955,0.481479866
1925,0.768100273,-1.289192751
1926,1.035659452,0.4443323
1927,1.075924731,0.705212418
1928,1.110222587,0.9274294
1929,1.215236809,1.607820132
1930,0.855124157,-0.725362038
1931,1.077212478,0.713555776
1932,1.093620544,0.819864195
1933,1.246135738,1.808015345
1934,0.949053841,-0.116788411
1935,1.316034192,2.260889818
1936,0.726233248,-1.560450638
1937,1.059458273,0.598525679
1938,1.248337978,1.822283732
1939,0.971063572,0.025813391
1940,0.835910333,-0.849849061
1941,0.625936856,-2.210274387
1942,0.714960804,-1.633485186
1943,0.813724498,-0.993591843
1944,0.907913466,-0.383338302
1945,1.248771011,1.825089368
1946,1.214185866,1.601011034
1947,1.095555648,0.832401804
1948,0.832032665,-0.874972605
1949,1.217503669,1.622507195
1950,1.011398505,0.2871448
1951,0.702142875,-1.716532987
1952,0.838456583,-0.833351821
1953,1.046867048,0.516946703
1954,0.995014103,0.180989696
1955,1.139176228,1.115021028
1956,1.083152617,0.752042138
1957,1.073682972,0.690687985
1958,0.861907734,-0.681411007
1959,1.043768985,0.496874243
1960,0.873413863,-0.606862409
1961,1.115826257,0.96373577
1962,0.705864371,-1.692421287
1963,0.767436072,-1.293496135
1964,0.747947716,-1.419761856
1965,0.793721161,-1.123194146
1966,0.881632349,-0.553614556
1967,0.937105757,-0.194200451
1968,0.805583809,-1.046335641
1969,0.784940375,-1.180085156
1970,0.988046649,0.135847328
1971,1.086995507,0.776940357
1972,1.037512426,0.456337785
1973,0.906095761,-0.395115273
1974,1.011405384,0.287189365
1975,0.910894765,-0.364022363
1976,1.067126495,0.648208349
1977,0.618862975,-2.2561063
1978,0.815295881,-0.983410795
1979,0.745295379,-1.436946439
1980,0.80022344,-1.081065654
1981,1.146059598,1.159618615
1982,0.9100108,-0.369749602
1983,0.932954978,-0.221093491
1984,0.801623727,-1.071993152
1985,1.066758188,0.645822075
1986,1.02073769,0.347653699
1987,0.962336716,-0.030728205
1988,0.903183506,-0.413983875
1989,1.139034064,1.114099942
1990,0.991733982,0.159737683
1991,0.960686312,-0.041421231
1992,1.043671684,0.496243825
1993,1.034020514,0.433713569
1994,1.095841142,0.834251529
1995,1.073813353,0.691532727
1996,0.751805613,-1.394766412
1997,0.98995718,0.148225724
1998,0.939326985,-0.179809038
1999,0.902743342,-0.416835711
2000,0.844096296,-0.796811923
2001,0.994180868,0.175591143
2002,1.091479353,0.80599135
2003,1.185485052,1.415057482
2004,1.123098256,1.010851296
2005,0.884005687,-0.538237619
2006,1.084895405,0.763333723
2007,0.914862402,-0.338315907
2008,0.972045739,0.032176881
2009,1.326833581,2.330859425
2010,1.011660344,0.288841266
2011,1.194886071,1.475967005
2012,1.042799958,0.490595884
2013,1.142264111,1.135027527
2014,1.098198768,0.849526664
2015,0.887125836,-0.518022068
2016,0.938874246,-0.182742352
2017,0.854717979,-0.727993679
2018,0.857954988,-0.707020984
2019,1.037709156,0.457612406
